Year,Category,Nominee,Won?
2010,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Allen, Joan in Georgia O'Keeffe",no
2010,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Barrymore, Drew in Grey Gardens",yes
2010,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Lange, Jessica in Grey Gardens",no
2010,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Paquin, Anna in Courageous Heart Of Irena, The",no
2010,Best Performance by an Actress In A Mini-series or Motion Picture Made for Television,"Weaver, Sigourney in Prayers For Bobby",no
2010,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Bacon, Kevin in Taking Chance",yes
2010,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Branagh, Kenneth in Wallander: One Step Behind",no
2010,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Ejiofor, Chiwetel in Endgame",no
2010,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Gleeson, Brendan in Into The Storm",no
2010,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,"Irons, Jeremy in Georgia O'Keeffe",no
2010,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Adams, Jane in Hung",no
2010,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Byrne, Rose in Damages",no
2010,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Lynch, Jane in Glee",no
2010,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","McTeer, Janet in Into The Storm",no
2010,"Best Performance by an Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Sevigny, Chloë in Big Love",yes
2010,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Emerson, Michael in Lost",no
2010,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Harris, Neil Patrick in How I Met Your Mother",no
2010,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Hurt, William in Damages",no
2010,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Lithgow, John in Dexter",yes
2010,"Best Performance by an Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television","Piven, Jeremy in Entourage",no
2009,Cecil B. DeMille Award,"Spielberg, Steven",yes
2009,Best Motion Picture - Drama,"Curious Case Of Benjamin Button, The",no
2009,Best Motion Picture - Drama,Frost/Nixon,no
2009,Best Motion Picture - Drama,"Reader, The",no
2009,Best Motion Picture - Drama,Revolutionary Road,no
2009,Best Motion Picture - Drama,Slumdog Millionaire,yes
2009,Best Performance by an Actress in a Motion Picture - Drama,"Hathaway, Anne in Rachel Getting Married",no
2009,Best Performance by an Actress in a Motion Picture - Drama,"Jolie, Angelina in Changeling",no
2009,Best Performance by an Actress in a Motion Picture - Drama,"Streep, Meryl in Doubt",no
2009,Best Performance by an Actress in a Motion Picture - Drama,"Thomas, Kristin Scott in I've Loved You So Long",no
2009,Best Performance by an Actress in a Motion Picture - Drama,"Winslet, Kate in Revolutionary Road",yes
2009,Best Performance by an Actor in a Motion Picture - Drama,"DiCaprio, Leonardo in Revolutionary Road",no
2009,Best Performance by an Actor in a Motion Picture - Drama,"Langella, Frank in Frost/Nixon",no
2009,Best Performance by an Actor in a Motion Picture - Drama,"Penn, Sean in Milk",no
2009,Best Performance by an Actor in a Motion Picture - Drama,"Pitt, Brad in Curious Case Of Benjamin Button, The",no
2009,Best Performance by an Actor in a Motion Picture - Drama,"Rourke, Mickey in Wrestler, The",yes
2009,Best Motion Picture - Comedy Or Musical,Burn After Reading,no
2009,Best Motion Picture - Comedy Or Musical,Happy-Go-Lucky,no
2009,Best Motion Picture - Comedy Or Musical,In Bruges,no
2009,Best Motion Picture - Comedy Or Musical,Mamma Mia!,no
2009,Best Motion Picture - Comedy Or Musical,Vicky Cristina Barcelona,yes
2009,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Hall, Rebecca in Vicky Cristina Barcelona",no
2009,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Hawkins, Sally in Happy-Go-Lucky",yes
2009,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"McDormand, Frances in Burn After Reading",no
